1,0042,4,7.03,0
1,0043,2,5.30,0
1,0071,10,7.99,0
1,0072,12,0.59,0
1,0073,2,0.87,0
1,0074,2,3.09,0
1,0083,9,12.32,0
1,0096,7,5.35,0
1,0098,11,1.12,0
1,0099,3,2.13,0
1,0100,2,2.16,0
1,0126,1,10.09,0
1,0127,10,1.11,0
1,0128,4,3.69,0
1,0129,1,1.98,0
1,0130,3,4.20,0
1,0138,25,0.72,0
1,0150,5,7.33,0
1,1032,1,0.03,0
1,1033,2,2.05,0
1,1039,37,1.34,0
1,1132,25,2.30,0
1,1134,1,1.14,0
1,1135,3,6.85,0
1,1136,4,3.36,0
1,1137,29,1.34,0
1,1138,21,4.86,0
1,1139,1,0.92,0
1,1140,1,1.55,0
1,1141,1,9.41,0
1,1142,2,1.23,0
1,1151,115,6.87,0
1,1556,1,2.31,0
1,1557,1,1.28,0
1,1558,1,1.98,0
1,1560,100,5.77,0
1,1561,1,0.64,0
1,1562,12,17.89,0
1,1563,16,1.76,0
1,1581,1,1.59,0
1,1582,4,8.99,0
1,1583,5,2.38,0
1,1593,26,1.51,0
1,1594,3,3.18,0
1,1595,8,0.50,0
1,1792,2,3.67,0
1,1793,1,1.09,0
1,1794,137,8.16,0
1,1796,62,2.10,0
1,1797,1,0.77,0
1,1798,1,0.30,0
1,1799,7,3.04,0
1,1800,1,0.46,0
1,1801,1,0.07,0
1,1802,1,1.44,0
1,1851,2,4.66,0
1,1852,2,2.89,0
1,1854,4,1.28,0
1,1855,11,7.58,0
1,1856,5,5.15,0
1,1857,100,3.22,0
1,1858,1,1.03,0
1,1882,5,10.38,0
1,1883,3,1.61,0
1,1884,1,0.92,0
1,1885,3,5.37,0
1,1886,5,11.66,0
1,1887,77,5.82,0
1,1888,1,1.42,0
