1,6513,1,0.65,0
1,6514,2,1.51,0
1,6535,1,1.73,0
1,6548,3,1.79,0
1,6561,2,2.25,0
1,6581,1,1.05,0
1,6586,3,3.19,0
1,6592,4,5.11,0
1,6594,3,1.95,0
1,6613,3,1.61,0
1,6621,1,0.32,0
1,6622,14,7.71,0
1,6623,8,10.79,0
1,6636,1,0.12,0
1,6658,9,1.84,0
1,6666,1,0.52,0
1,6667,1,1.34,0
1,6668,1,0.70,0
1,6669,1,0.58,0
1,6670,17,8.04,0
1,6674,5,3.49,0
1,6675,2,1.20,0
1,6677,4,2.31,0
1,6678,7,1.93,0
1,6680,158,4.98,0
1,6686,3,4.45,0
1,6687,10,0.90,0
1,6688,5,3.54,0
1,6689,32,2.23,0
1,6708,2,2.91,0
1,6709,1,0.83,0
